provincia,zona,titulo,precio_actual,metros,habitaciones,ascensor,planta,baños,cod_distrito,renta_neta_media_por_hogar
madrid,ciudad-lineal,"Piso en San Pascual, Madrid",980000,266,5.0,S,14ª,0,15,46937
madrid,villa-de-vallecas,"Piso en calle Peña Rivera, Casco Histórico de Vallecas, Madrid",195000,87,2.0,S,1ª,1,18,39836
madrid,latina,"Piso en paseo de Extremadura, 326, Aluche, Madrid",595000,111,5.0,S,1ª,1,10,38078
madrid,hortaleza,"Chalet adosado en Conde Orgaz-Piovera, Madrid",1720000,300,5.0,S,4ª,0,16,61472
madrid,arganzuela,"Piso en Palos de la Frontera, Madrid",800000,189,4.0,S,4ª,0,02,52857
madrid,centro,"Piso en calle de Ruiz, Malasaña-Universidad, Madrid",799000,79,2.0,S,4ª,0,01,44958
madrid,chamberi,"Piso en calle de Alberto Aguilera, Gaztambide, Madrid",1395000,146,3.0,S,5ª,0,07,65174
madrid,arganzuela,"Piso en paseo de las Delicias, Delicias, Madrid",120000,26,1.0,N,6ª,0,02,52857
madrid,barrio-de-salamanca,"Piso en calle de Castelló, Castellana, Madrid",1329000,127,2.0,S,4ª,0,04,69147
madrid,centro,"Piso en Chueca-Justicia, Madrid",920000,79,1.0,S,8ª,0,01,44958
madrid,moncloa,"Chalet pareado en calle de Cercis, Valdemarín, Madrid",1990000,516,5.0,S,4ª,0,09,71711
madrid,ciudad-lineal,"Piso en calle de San Telesforo, Pueblo Nuevo, Madrid",450000,105,3.0,S,4ª,2,15,46937
madrid,chamartin,"Estudio en calle General Zabala, 37, Ciudad Jardín, Madrid",415000,54,5.0,S,1ª,0,05,79274
madrid,ciudad-lineal,"Piso en calle de Arturo Soria, Colina, Madrid",1250000,322,5.0,S,1ª,0,15,46937
madrid,hortaleza,"Chalet pareado en calle de Puerto de Santa María, Conde Orgaz-Piovera, Madrid",1550000,288,4.0,S,3ª,0,16,61472
madrid,san-blas,"Piso en plaza de las Olivas, 2, Salvador, Madrid",460000,120,4.0,S,3ª,0,20,44468
madrid,barrio-de-salamanca,"Piso en Goya, Madrid",1500000,151,3.0,S,2ª,0,04,69147
madrid,barrio-de-salamanca,"Piso en calle de Ayala, Recoletos, Madrid",5000000,320,3.0,S,4ª,0,04,69147
madrid,fuencarral,"Piso en calle de las Islas Bermudas, 3, Tres Olivos - Valverde, Madrid",349000,90,2.0,S,BAJO,2,08,62385
madrid,barrio-de-salamanca,"Piso en Fuente del Berro, Madrid",450000,50,2.0,N,2ª,1,04,69147
madrid,centro,"Piso en calle de Toledo, Palacio, Madrid",750000,114,3.0,S,2ª,0,01,44958
madrid,san-blas,"Piso en Canillejas, Madrid",116000,70,2.0,S,BAJO,0,20,44468
madrid,barrio-de-salamanca,"Piso en calle del General Pardiñas, 31, Lista, Madrid",630000,48,1.0,S,3ª,0,04,69147
madrid,fuencarral,"Piso en Pilar, Madrid",264000,64,2.0,N,BAJO,0,08,62385
madrid,fuencarral,"Chalet adosado en calle de Santa Ana Alta, Tres Olivos - Valverde, Madrid",330000,62,1.0,S,7ª,1,08,62385
madrid,san-blas,"Ático en Arcos, Madrid",455000,70,1.0,S,7ª,0,20,44468
madrid,centro,"Piso en Malasaña-Universidad, Madrid",1039000,108,3.0,S,3ª,0,01,44958
madrid,chamberi,"Piso en calle del General Álvarez de Castro, Trafalgar, Madrid",270000,48,1.0,N,-1,0,07,65174
madrid,latina,"Ático en Puerta del Ángel, Madrid",420000,100,2.0,N,3ª,0,10,38078
madrid,puente-de-vallecas,"Piso en calle de los Robles, San Diego, Madrid",140000,40,2.0,S,BAJO,0,13,32666
madrid,chamberi,"Ático en calle Castillo, Trafalgar, Madrid",1050000,98,2.0,S,5ª,2,07,65174
madrid,barrio-de-salamanca,"Piso en calle de Diego de León, Lista, Madrid",849000,83,2.0,S,6ª,0,04,69147
madrid,carabanchel,"Ático en Puerta Bonita, Madrid",530000,153,4.0,S,4ª,0,11,3635
madrid,ciudad-lineal,"Piso en calle de la Condesa de Venadito, 6, San Pascual, Madrid",850000,190,4.0,S,9ª,0,15,46937
madrid,barrio-de-salamanca,"Ático en calle de las Mártires Concepcionistas, Lista, Madrid",1985000,245,3.0,S,7ª,0,04,69147
madrid,puente-de-vallecas,"Estudio en calle de Candilejas, Palomeras Bajas, Madrid",153000,71,7.0,N,BAJO,0,13,32666
madrid,centro,"Piso en Malasaña-Universidad, Madrid",1700000,200,7.0,S,1ª,4,01,44958
madrid,chamartin,"Piso en Enrique Larreta, 12, Castilla, Madrid",437000,65,1.0,S,6ª,0,05,79274
madrid,centro,"Piso en Sol, Madrid",489000,75,2.0,N,1ª,1,01,44958
